Roll No,Student Name,Section,School Name,Mathematics (Theory),Mathematics (Practical),Mathematics (Total),Science (Theory),Science (Practical),Science (Total),Social Science (Theory),Social Science (Practical),Social Science (Total),General Knowledge (Theory),General Knowledge (Practical),General Knowledge (Total),Computer Science (Theory),Computer Science (Practical),Computer Science (Total),Economics (Theory),Economics (Practical),Economics (Total),Grand Total (600),Percentage (%),Status
10A35,Fatima Singh,10th A,Ram Lal Anand School,49,10,59,57,17,74,70,10,80,27,15,42,46,6,52,40,18,58,365,60.83,PASS
10A36,Arjun Patel,10th A,Ram Lal Anand School,52,16,68,66,5,71,24,16,40,67,7,74,23,7,30,68,5,73,356,59.33,FAIL
10A37,Krishna Malhotra,10th A,Ram Lal Anand School,63,16,79,49,17,66,65,9,74,25,7,32,60,9,69,43,17,60,380,63.33,FAIL
10A38,Sneha Verma,10th A,Ram Lal Anand School,68,18,86,72,19,91,54,16,70,52,8,60,40,11,51,52,7,59,417,69.5,PASS
10A39,Sneha Das,10th A,Ram Lal Anand School,37,13,50,61,19,80,73,14,87,22,12,34,65,12,77,69,19,88,416,69.33,PASS
10A40,Ananya Iyer,10th A,Ram Lal Anand School,41,11,52,21,19,40,46,14,60,21,14,35,36,12,48,52,13,65,300,50.0,PASS
10B01,Krishna Bose,10th B,Ram Lal Anand School,62,10,72,67,11,78,48,14,62,74,14,88,54,6,60,44,12,56,416,69.33,PASS
10B02,Krishna Verma,10th B,Ram Lal Anand School,32,16,48,77,11,88,76,8,84,64,8,72,20,12,32,65,18,83,407,67.83,FAIL
10B03,Rahul Singh,10th B,Ram Lal Anand School,31,7,38,42,19,61,47,6,53,21,11,32,41,7,48,44,14,58,290,48.33,FAIL
10B04,Rohan Bose,10th B,Ram Lal Anand School,41,14,55,77,10,87,68,8,76,61,10,71,34,10,44,62,16,78,411,68.5,PASS
10B05,Priya Bose,10th B,Ram Lal Anand School,56,5,61,27,9,36,63,16,79,24,11,35,23,10,33,64,8,72,316,52.67,PASS
10B06,Kabir Das,10th B,Ram Lal Anand School,49,19,68,54,11,65,59,8,67,35,17,52,69,16,85,61,18,79,416,69.33,PASS
10B07,Priya Singh,10th B,Ram Lal Anand School,38,5,43,75,19,94,38,16,54,77,11,88,45,9,54,45,9,54,387,64.5,PASS
10B08,Vihaan Reddy,10th B,Ram Lal Anand School,42,19,61,28,16,44,72,5,77,77,14,91,20,19,39,53,18,71,383,63.83,PASS
10B09,Myra Bose,10th B,Ram Lal Anand School,73,13,86,59,17,76,72,5,77,35,17,52,58,19,77,24,10,34,402,67.0,PASS
10B10,Ananya Das,10th B,Ram Lal Anand School,48,11,59,22,16,38,45,7,52,56,10,66,76,17,93,33,16,49,357,59.5,PASS
10B11,Aarav Singh,10th B,Ram Lal Anand School,24,19,43,68,18,86,65,18,83,71,9,80,31,14,45,45,9,54,391,65.17,PASS
10B12,Priya Menon,10th B,Ram Lal Anand School,58,8,66,52,18,70,49,9,58,42,14,56,29,10,39,24,8,32,321,53.5,FAIL
10B13,Diya Chaudhary,10th B,Ram Lal Anand School,53,8,61,50,14,64,77,7,84,77,5,82,75,9,84,64,8,72,447,74.5,PASS
10B14,Fatima Joshi,10th B,Ram Lal Anand School,35,12,47,35,11,46,21,5,26,47,15,62,39,12,51,31,6,37,269,44.83,FAIL
10B15,Sneha Joshi,10th B,Ram Lal Anand School,54,16,70,52,5,57,70,15,85,56,16,72,22,5,27,52,12,64,375,62.5,FAIL
10B16,Pooja Gupta,10th B,Ram Lal Anand School,29,15,44,63,17,80,32,16,48,50,18,68,21,17,38,70,6,76,354,59.0,PASS
10B17,Vihaan Iyer,10th B,Ram Lal Anand School,54,11,65,36,14,50,27,17,44,45,14,59,45,18,63,53,7,60,341,56.83,PASS
10B18,Sneha Sharma,10th B,Ram Lal Anand School,60,11,71,23,14,37,72,6,78,64,15,79,48,12,60,55,13,68,393,65.5,PASS
10B19,Rahul Menon,10th B,Ram Lal Anand School,40,17,57,76,8,84,29,9,38,28,12,40,54,5,59,54,8,62,340,56.67,PASS
10B20,Arjun Reddy,10th B,Ram Lal Anand School,37,5,42,58,12,70,42,18,60,51,9,60,31,5,36,74,17,91,359,59.83,PASS
10B21,Fatima Kulkarni,10th B,Ram Lal Anand School,42,13,55,54,13,67,49,5,54,68,18,86,39,13,52,41,17,58,372,62.0,PASS
10B22,Krishna Iyer,10th B,Ram Lal Anand School,78,7,85,68,8,76,31,17,48,60,7,67,31,13,44,26,16,42,362,60.33,PASS
10B23,Ananya Patel,10th B,Ram Lal Anand School,33,19,52,71,7,78,77,19,96,35,9,44,24,7,31,31,13,44,345,57.5,FAIL
10B24,Priya Patel,10th B,Ram Lal Anand School,71,15,86,40,8,48,72,11,83,35,13,48,58,17,75,72,14,86,426,71.0,PASS
10B25,Fatima Iyer,10th B,Ram Lal Anand School,77,11,88,33,19,52,77,9,86,54,11,65,48,15,63,30,6,36,390,65.0,PASS
10B26,Sai Kulkarni,10th B,Ram Lal Anand School,66,16,82,28,14,42,77,16,93,36,17,53,57,11,68,65,17,82,420,70.0,PASS
10B27,Fatima Chaudhary,10th B,Ram Lal Anand School,59,14,73,28,6,34,46,14,60,21,9,30,48,9,57,57,7,64,318,53.0,FAIL
10B28,Aditya Malhotra,10th B,Ram Lal Anand School,27,17,44,20,10,30,71,5,76,26,13,39,64,8,72,55,10,65,326,54.33,FAIL
10B29,Rohan Nair,10th B,Ram Lal Anand School,50,7,57,63,10,73,58,15,73,29,14,43,38,11,49,22,17,39,334,55.67,PASS
10B30,Myra Malhotra,10th B,Ram Lal Anand School,32,6,38,47,18,65,77,8,85,47,12,59,60,11,71,20,7,27,345,57.5,FAIL
10B31,Ishaan Malhotra,10th B,Ram Lal Anand School,32,16,48,76,19,95,68,13,81,75,5,80,57,9,66,25,14,39,409,68.17,PASS
10B32,Aditya Chaudhary,10th B,Ram Lal Anand School,63,17,80,51,17,68,66,9,75,35,10,45,40,15,55,56,8,64,387,64.5,PASS
10B33,Rahul Sharma,10th B,Ram Lal Anand School,54,7,61,39,13,52,37,19,56,60,5,65,33,19,52,50,5,55,341,56.83,PASS
10B34,Rahul Patel,10th B,Ram Lal Anand School,72,10,82,73,7,80,35,11,46,76,15,91,31,14,45,51,12,63,407,67.83,PASS
10B35,Fatima Verma,10th B,Ram Lal Anand School,57,16,73,43,16,59,72,12,84,77,16,93,55,14,69,27,14,41,419,69.83,PASS
10B36,Aarav Reddy,10th B,Ram Lal Anand School,69,16,85,47,9,56,60,8,68,46,10,56,36,13,49,52,9,61,375,62.5,PASS
10B37,Aditya Menon,10th B,Ram Lal Anand School,39,17,56,47,17,64,32,18,50,54,17,71,25,6,31,70,9,79,351,58.5,FAIL
10B38,Kabir Reddy,10th B,Ram Lal Anand School,66,13,79,21,14,35,75,18,93,69,15,84,64,9,73,74,12,86,450,75.0,PASS
10B39,Rahul Nair,10th B,Ram Lal Anand School,52,10,62,20,6,26,51,19,70,68,15,83,40,14,54,44,10,54,349,58.17,FAIL
10B40,Vihaan Singh,10th B,Ram Lal Anand School,78,15,93,68,17,85,52,6,58,60,7,67,20,9,29,67,11,78,410,68.33,FAIL
10C01,Priya Chaudhary,10th C,Ram Lal Anand School,25,16,41,36,9,45,50,9,59,57,7,64,72,11,83,56,9,65,357,59.5,PASS
10C02,Vihaan Patel,10th C,Ram Lal Anand School,56,14,70,29,7,36,36,9,45,33,13,46,65,5,70,70,17,87,354,59.0,PASS
10C03,Vihaan Kulkarni,10th C,Ram Lal Anand School,32,8,40,20,5,25,59,6,65,47,19,66,27,11,38,45,14,59,293,48.83,FAIL
10C04,Sai Malhotra,10th C,Ram Lal Anand School,53,10,63,73,7,80,78,6,84,31,5,36,73,16,89,24,18,42,394,65.67,PASS
10C05,Pooja Bose,10th C,Ram Lal Anand School,49,15,64,76,5,81,67,19,86,66,11,77,34,9,43,40,18,58,409,68.17,PASS
10C06,Sai Sharma,10th C,Ram Lal Anand School,21,15,36,70,11,81,57,16,73,53,10,63,69,6,75,37,18,55,383,63.83,PASS
10C07,Ishaan Patel,10th C,Ram Lal Anand School,34,15,49,70,19,89,53,8,61,76,10,86,52,12,64,34,16,50,399,66.5,PASS
10C08,Riya Iyer,10th C,Ram Lal Anand School,49,11,60,61,7,68,36,9,45,48,8,56,29,12,41,36,14,50,320,53.33,PASS
10C09,Riya Menon,10th C,Ram Lal Anand School,36,16,52,39,12,51,24,6,30,25,9,34,21,17,38,62,15,77,282,47.0,FAIL
10C10,Rohan Singh,10th C,Ram Lal Anand School,67,15,82,70,19,89,76,11,87,74,19,93,30,10,40,35,12,47,438,73.0,PASS
10C11,Zara Malhotra,10th C,Ram Lal Anand School,23,12,35,23,12,35,44,7,51,51,7,58,46,17,63,51,6,57,299,49.83,PASS
10C12,Priya Malhotra,10th C,Ram Lal Anand School,77,7,84,38,9,47,24,6,30,47,14,61,41,9,50,25,5,30,302,50.33,FAIL
10C13,Myra Menon,10th C,Ram Lal Anand School,24,13,37,31,14,45,65,6,71,68,18,86,45,17,62,46,13,59,360,60.0,PASS
10C14,Meera Das,10th C,Ram Lal Anand School,45,13,58,66,13,79,41,19,60,75,18,93,62,19,81,67,17,84,455,75.83,PASS
10C15,Ananya Singh,10th C,Ram Lal Anand School,36,14,50,55,5,60,27,5,32,54,17,71,71,19,90,66,19,85,388,64.67,FAIL
10C16,Pooja Iyer,10th C,Ram Lal Anand School,75,10,85,33,14,47,47,11,58,33,12,45,21,17,38,45,18,63,336,56.0,PASS
10C17,Kabir Patel,10th C,Ram Lal Anand School,78,12,90,70,11,81,22,19,41,42,18,60,62,19,81,64,6,70,423,70.5,PASS
10C18,Krishna Patel,10th C,Ram Lal Anand School,77,10,87,54,7,61,34,13,47,74,9,83,47,14,61,58,13,71,410,68.33,PASS
10C19,Meera Bose,10th C,Ram Lal Anand School,36,11,47,41,14,55,63,13,76,36,17,53,39,13,52,23,14,37,320,53.33,PASS
10C20,Vihaan Chaudhary,10th C,Ram Lal Anand School,22,13,35,64,6,70,66,8,74,66,10,76,53,19,72,27,12,39,366,61.0,PASS
10C21,Kabir Singh,10th C,Ram Lal Anand School,68,16,84,38,14,52,60,9,69,25,8,33,45,6,51,78,12,90,379,63.17,PASS
10C22,Sai Nair,10th C,Ram Lal Anand School,78,17,95,25,9,34,76,5,81,72,10,82,40,10,50,25,11,36,378,63.0,PASS
10C23,Sai Verma,10th C,Ram Lal Anand School,67,8,75,49,15,64,49,19,68,43,11,54,28,11,39,22,7,29,329,54.83,FAIL
10C24,Myra Sharma,10th C,Ram Lal Anand School,50,12,62,56,8,64,43,19,62,25,6,31,39,16,55,30,8,38,312,52.0,FAIL
10C25,Meera Verma,10th C,Ram Lal Anand School,34,10,44,73,5,78,49,12,61,57,7,64,76,6,82,34,15,49,378,63.0,PASS
10C26,Pooja Chaudhary,10th C,Ram Lal Anand School,27,14,41,70,17,87,63,9,72,25,14,39,73,8,81,38,8,46,366,61.0,PASS
10C27,Ishaan Iyer,10th C,Ram Lal Anand School,52,8,60,68,16,84,66,5,71,45,18,63,57,9,66,30,19,49,393,65.5,PASS
10C28,Diya Singh,10th C,Ram Lal Anand School,55,17,72,62,7,69,52,10,62,69,12,81,29,9,38,42,14,56,378,63.0,PASS
10C29,Rohan Das,10th C,Ram Lal Anand School,63,6,69,32,12,44,21,8,29,20,19,39,56,13,69,36,13,49,299,49.83,FAIL
10C30,Rohan Sharma,10th C,Ram Lal Anand School,30,19,49,43,10,53,74,7,81,49,19,68,68,9,77,63,6,69,397,66.17,PASS
10C31,Meera Reddy,10th C,Ram Lal Anand School,33,9,42,75,15,90,28,6,34,31,7,38,54,5,59,59,10,69,332,55.33,PASS
10C32,Aditya Gupta,10th C,Ram Lal Anand School,48,12,60,30,13,43,56,18,74,49,7,56,40,9,49,24,7,31,313,52.17,FAIL
10C33,Fatima Patel,10th C,Ram Lal Anand School,78,18,96,45,18,63,23,13,36,64,14,78,44,6,50,59,12,71,394,65.67,PASS
10C34,Arjun Chaudhary,10th C,Ram Lal Anand School,58,12,70,33,7,40,57,5,62,42,19,61,34,5,39,44,5,49,321,53.5,PASS
10C35,Vihaan Gupta,10th C,Ram Lal Anand School,52,19,71,74,6,80,33,9,42,59,12,71,70,11,81,70,10,80,425,70.83,PASS
10C36,Rahul Das,10th C,Ram Lal Anand School,25,7,32,26,7,33,27,14,41,71,19,90,66,17,83,52,8,60,339,56.5,FAIL
10C37,Myra Reddy,10th C,Ram Lal Anand School,49,11,60,46,8,54,48,10,58,76,5,81,56,15,71,74,5,79,403,67.17,PASS
10C38,Kabir Menon,10th C,Ram Lal Anand School,23,10,33,21,14,35,24,15,39,29,5,34,73,10,83,32,19,51,275,45.83,PASS
10C39,Sai Reddy,10th C,Ram Lal Anand School,66,8,74,64,12,76,71,12,83,34,17,51,27,9,36,48,19,67,387,64.5,PASS
10C40,Priya Nair,10th C,Ram Lal Anand School,23,16,39,64,6,70,46,19,65,70,7,77,55,8,63,45,15,60,374,62.33,PASS
10D01,Aditya Verma,10th D,Ram Lal Anand School,46,9,55,39,15,54,29,12,41,57,10,67,27,11,38,66,14,80,335,55.83,PASS
10D02,Aarav Das,10th D,Ram Lal Anand School,65,15,80,31,14,45,32,12,44,37,13,50,52,19,71,59,16,75,365,60.83,PASS
10D03,Aditya Patel,10th D,Ram Lal Anand School,62,16,78,63,8,71,67,8,75,24,12,36,56,12,68,61,5,66,394,65.67,PASS
10D04,Rohan Malhotra,10th D,Ram Lal Anand School,47,19,66,77,13,90,73,7,80,48,18,66,59,13,72,41,15,56,430,71.67,PASS
10D05,Rahul Chaudhary,10th D,Ram Lal Anand School,42,5,47,65,9,74,40,14,54,65,8,73,73,11,84,76,5,81,413,68.83,PASS
10D06,Ishaan Sharma,10th D,Ram Lal Anand School,73,11,84,70,12,82,34,9,43,66,13,79,72,13,85,29,8,37,410,68.33,PASS
10D07,Aarav Kulkarni,10th D,Ram Lal Anand School,76,9,85,45,13,58,54,19,73,71,13,84,45,15,60,57,6,63,423,70.5,PASS
10D08,Rohan Patel,10th D,Ram Lal Anand School,26,6,32,46,6,52,46,5,51,62,15,77,63,15,78,70,10,80,370,61.67,FAIL
10D09,Meera Iyer,10th D,Ram Lal Anand School,43,13,56,26,8,34,25,9,34,43,5,48,68,17,85,62,10,72,329,54.83,PASS
10D10,Zara Bose,10th D,Ram Lal Anand School,45,16,61,69,9,78,68,11,79,36,8,44,60,5,65,39,10,49,376,62.67,PASS
10D11,Sai Bose,10th D,Ram Lal Anand School,41,16,57,59,5,64,26,5,31,51,17,68,49,11,60,70,15,85,365,60.83,FAIL
10D12,Aarav Gupta,10th D,Ram Lal Anand School,75,7,82,51,18,69,48,5,53,64,17,81,49,12,61,38,6,44,390,65.0,PASS
10D13,Riya Chaudhary,10th D,Ram Lal Anand School,20,18,38,70,19,89,69,6,75,73,16,89,68,6,74,49,10,59,424,70.67,PASS
10D14,Meera Kulkarni,10th D,Ram Lal Anand School,70,19,89,23,5,28,27,17,44,74,11,85,22,14,36,29,7,36,318,53.0,FAIL
10D15,Krishna Menon,10th D,Ram Lal Anand School,65,6,71,52,11,63,74,16,90,51,6,57,26,17,43,27,5,32,356,59.33,FAIL
10D16,Krishna Reddy,10th D,Ram Lal Anand School,76,11,87,22,12,34,42,15,57,27,10,37,76,19,95,56,7,63,373,62.17,PASS
10D17,Krishna Gupta,10th D,Ram Lal Anand School,70,5,75,47,19,66,27,6,33,54,12,66,33,12,45,65,15,80,365,60.83,PASS
10D18,Kabir Nair,10th D,Ram Lal Anand School,35,8,43,71,9,80,73,9,82,33,19,52,74,6,80,26,14,40,377,62.83,PASS
10D19,Zara Nair,10th D,Ram Lal Anand School,26,5,31,42,9,51,38,17,55,38,8,46,48,16,64,37,6,43,290,48.33,FAIL
10D20,Ananya Nair,10th D,Ram Lal Anand School,20,19,39,24,8,32,30,14,44,21,7,28,42,11,53,31,8,39,235,39.17,FAIL
10D21,Priya Sharma,10th D,Ram Lal Anand School,24,9,33,57,18,75,28,6,34,72,16,88,54,8,62,77,10,87,379,63.17,PASS
10D22,Meera Patel,10th D,Ram Lal Anand School,63,12,75,36,14,50,49,12,61,78,18,96,42,5,47,69,7,76,405,67.5,PASS
10D23,Diya Malhotra,10th D,Ram Lal Anand School,36,18,54,28,12,40,21,17,38,44,11,55,28,10,38,41,15,56,281,46.83,PASS
10D24,Aditya Reddy,10th D,Ram Lal Anand School,65,8,73,45,14,59,48,17,65,53,11,64,56,15,71,25,6,31,363,60.5,FAIL
10D25,Ananya Sharma,10th D,Ram Lal Anand School,40,14,54,55,13,68,57,6,63,36,9,45,44,10,54,77,16,93,377,62.83,PASS
10D26,Aditya Joshi,10th D,Ram Lal Anand School,42,9,51,61,10,71,40,15,55,76,19,95,25,15,40,59,6,65,377,62.83,PASS
10D27,Krishna Kulkarni,10th D,Ram Lal Anand School,31,17,48,76,9,85,26,14,40,64,5,69,45,9,54,47,18,65,361,60.17,PASS
10D28,Aarav Sharma,10th D,Ram Lal Anand School,77,18,95,21,16,37,73,15,88,20,7,27,72,8,80,70,14,84,411,68.5,FAIL
10D29,Fatima Bose,10th D,Ram Lal Anand School,48,9,57,30,12,42,30,8,38,68,15,83,58,12,70,54,10,64,354,59.0,PASS
10D30,Zara Iyer,10th D,Ram Lal Anand School,53,11,64,66,12,78,73,10,83,24,12,36,52,14,66,55,19,74,401,66.83,PASS
10D31,Riya Patel,10th D,Ram Lal Anand School,39,7,46,54,8,62,62,5,67,78,17,95,62,6,68,28,14,42,380,63.33,PASS
10D32,Meera Sharma,10th D,Ram Lal Anand School,21,9,30,28,13,41,59,5,64,20,13,33,62,12,74,61,13,74,316,52.67,FAIL
10D33,Fatima Nair,10th D,Ram Lal Anand School,58,7,65,22,6,28,56,16,72,63,7,70,49,10,59,53,16,69,363,60.5,FAIL
10D34,Meera Malhotra,10th D,Ram Lal Anand School,38,9,47,63,15,78,78,5,83,36,14,50,76,11,87,68,19,87,432,72.0,PASS
10D35,Myra Singh,10th D,Ram Lal Anand School,31,18,49,35,12,47,38,12,50,50,9,59,36,11,47,56,10,66,318,53.0,PASS
10D36,Arjun Gupta,10th D,Ram Lal Anand School,35,10,45,27,13,40,37,13,50,31,19,50,78,14,92,60,17,77,354,59.0,PASS
10D37,Diya Menon,10th D,Ram Lal Anand School,45,19,64,51,14,65,35,11,46,36,11,47,45,9,54,41,14,55,331,55.17,PASS
10D38,Aarav Verma,10th D,Ram Lal Anand School,26,18,44,34,9,43,26,13,39,70,12,82,69,15,84,42,17,59,351,58.5,PASS
10D39,Pooja Singh,10th D,Ram Lal Anand School,37,19,56,49,8,57,58,7,65,37,15,52,61,11,72,36,18,54,356,59.33,PASS
10D40,Rohan Gupta,10th D,Ram Lal Anand School,50,12,62,54,16,70,64,6,70,22,9,31,62,12,74,45,11,56,363,60.5,FAIL
